company_name,cp,department,distance,jobs,location,num_employees,rating,rome_code
ADREXO,1160,Ain,12.5,promotion des ventes,HAUTECOURT,100 à 199 salariés,2.5,M1706
MEDIAPOST,1160,Ain,47,promotion des ventes,VAULX,100 à 199 salariés,2.8,M1706
STRADA ACTION,1160,Ain,49.5,promotion des ventes,LYON,0 salarié,2.5,M1706
ORANGINA SUNTORY FRANCE PRODUCTION,1160,Ain,40.8,promotion des ventes,MEYZIEU,100 à 199 salariés,3,M1706
KARIO,1160,Ain,42.7,promotion des ventes,BELLEY,6 à 9 salariés,2.5,M1706
STRADA PERFORMANCE,1160,Ain,49.5 38 min en voiture,promotion des ventes,LYON,0 salarié,2.8,M1706
SAS HOLDIS,1160,Ain,37.4,responsable de secteur,LECLERC,0 salarié,2.5,D1509
CENTRE LECLERC,1160,Ain,44.4,responsable de secteur,GENAY,200 à 249 salariés,2.5,D1509
INTERMARCHE JEAN DE PARIS,1160,Ain,11.1,responsable de secteur,AMBERIEU,100 à 199 salariés,2.5,D1509
AUCHAN,1160,Ain,46.9,responsable de secteur,CALUIRE,500 à 999 salariés,2.7,D1509
MEDIAPOST,1160,Ain,47,responsable de secteur,VAULX,100 à 199 salariés,2.5,D1509
INTERMARCHE,1160,Ain,32.4,responsable de secteur,OYONNAX,0 salarié,2.5,D1509
INTERMARCHE,1160,Ain,41.7,responsable de secteur,MEYZIEU,20 à 49 salariés,2.5,D1509
STRADA PERFORMANCE,1160,Ain,49.5,responsable de secteur,LYON,0 salarié,2.5,D1509
ADREXO,2000,Aisne,43.0 37 min en voiture,promotion des ventes,REIMS,100 à 199 salariés,3.1,M1706
CORA,2000,Aisne,40.3,responsable de secteur,SAINT,0 salarié,2.7,D1509
CARREFOUR CONTACT,2000,Aisne,46.2,responsable de secteur,BAZANCOURT,0 salarié,2.7,D1509
ADREXO,2000,Aisne,43,responsable de secteur,REIMS,100 à 199 salariés,2.5,D1509
CENTRE E LECLERC,2000,Aisne,43.1,responsable de secteur,SAINT,0 salarié,3,D1509
PROSPECTUS MAILING ADRESSE BAL GEOMARK,3240,Allier,46.0 55 min en voiture,promotion des ventes,HAUTERIVE,20 à 49 salariés,2.5,M1706
LECLERC,3240,Allier,25.5 35 min en voiture,responsable de secteur,AVERMES,0 salarié,2.5,D1509
Elargir aux métiers suivants :,4000,Alpes-de-Haute-Provence,,promotion des ventes,,,,M1706
Elargir aux métiers suivants :,4000,Alpes-de-Haute-Provence,,responsable de secteur,,,,D1509
Elargir aux métiers suivants :,5260,Hautes-Alpes,,promotion des ventes,,,,M1706
Elargir aux métiers suivants :,5260,Hautes-Alpes,,responsable de secteur,,,,D1509
MEDIAPOST,6710,Alpes-Maritimes,18.0 25 min en voiture,promotion des ventes,CARROS,0 salarié,2.5,M1706
E LECLERC,6710,Alpes-Maritimes,41.3,responsable de secteur,LE,0 salarié,2.5,D1509
