job_title,job_title_found,company,location,sources,jobkeys,dates,description,department_name,department_code,rome_code
promoteur des ventes,Promoteur des ventes – findus F/H,Actiale,"Bourg-en-Bresse, Auvergne-Rhône-Alpes, FR",We Recruit,70a653a0bec3,2020-07-06,"L'entrepriseNous accompagnons de nombreuses marques de grande consommation, dans la valorisation de leurs produits en point de vente. 
Pour accompagner le développement de nos partenariats clients, nous recherchons des personnes  attirées  par le dynamisme de l’univers de la grande distribution pour des postes de commerciaux, animateurs, merchandiseurs.
Si la vente, la valorisation du produit,  l’atteinte des objectifs et les défis personnels sont vos moteurs au quotidien, postulez dès maintenant pour rejoindre une équipe professionnelle, active et motivée, soucieuse des valeurs humaines.Description du posteNous recherchons, pour l’un de nos clients spécialisé dans les surgelés, 1 promoteur des ventes (H/F) sur le secteur Annecy / Bourg-en-Bresse&nbsp;
Type de Contrat : CDD du 7 septembre au 13 novembre 2020
Formation sur l’île-De-France les 7 et 8 septembre 2020
Votre mission consiste à :

 Augmenter la DN sur les principales références de      la marque
 Assurer la présence des innovations en fonction      des typologies de point de vente. 
 Assurer les implantations, réimplantations et      recadrages
 Assurer un reporting qualitatif et quantitatif      via vos tablettes suivant le rythme demandé dans le cadre de la mission

Conditions :
Salaire : 2117,5€ bruts (Précarité + CP inclus) + prime d’objectif mensuelle de 150 euros
Frais de vie
Déjeuner : Forfait 12€ et maxi 19 € au réel (sur justificatifs)
Autres frais professionnels : remboursement au réel (sur justificatifs)
Package : Voiture société / Tablette connectée / participation forfait téléphone portableProfil recherchéDe formation bac + 2 à dominante commerciale, Homme ou Femme de terrain, dynamique et enthousiaste.
Une première expérience dans l’univers de la grande distribution est impérative. Connaitre l’univers Surgelé est un réel plus.
Vous savez restituer une argumentation produit simple.
Organisation, rigueur et autonomie seront les atouts majeurs de votre réussite dans le cadre de l’organisation de votre activité
La maîtrise de l’outil informatique (pack office) est requise
Autres : Permis B depuis au moins 2 ans",Ain,1,M1706
responsable de secteur,Responsable de secteur nucléaire H/F,ONET,"Blyes, Auvergne-Rhône-Alpes, FR",ONET,f317ddd07bfa,2020-06-30,"Description du poste<p>Onet, groupe familial français et acteur international référent des métiers de l’ingénierie et des services, accompagne ses clients pour un monde plus sain et plus fiable. Ses activités sont réparties en différents métiers dont l’offre diversifiée repose sur l’expertise de ses 72 000 collaborateurs et ont généré un chiffre d’affaires de 2 milliards d’euros en 2019.</p><p>Onet Technologies, division nucléaire du groupe Onet, est un des leaders français de l’industrie du nucléaire avec 2900 collaborateurs et un Chiffre d’Affaires de 292 millions d’euros.</p><p>Rattaché au Responsable de l'activité ""soutien à l'exploitant et à l'opérateur"", le Responsable de secteur gère l'ensemble des moyens techniques et humains rattachés à son périmètre afin d'en assurer les objectifs de rentabilité et de développement.</p><p>A ce titre, les missions qui vous seront confiées sont les suivantes :</p><p>- Mettre en place et piloter l'organisation <br/> - Gérer et animer les équipes de son périmètre<br/> - Participer au suivi et à l’évolution de carrière de ses collaborateurs</p><p>- Assurer la rentabilité de son périmètre par la maîtrise des coûts et l'entretien des relations commerciales<br/> - Suivre et analyser les résultats d’exploitation<br/>- Proposer et mener les actions correctives <br/> - Entretenir et développer les relations de confiance avec les clients<br/> - Établir les propositions techniques et commerciales</p><p>- Participer au chiffrage des réponses à appels d’offres<br/> - Manager, de façon qualitative et quantitative, les moyens humains et matériels<br/> - Valider les orientations techniques<br/> - Conduire (ou participer à) des réunions clients et défendre les axes stratégiques, techniques, contractuels définis</p><p> - Sélectionner et participer aux choix des fournisseurs et des sous-traitants, puis les suivre et les évaluer</p><p>- Suivre les chantiers et entretenir la relation client</p><p>- Proposer des axes d’amélioration continue (en terme RH, organisationnel, Q3SER, investissement etc.) <br/> - Analyser les situations à risques et mettre en œuvre tous les moyens nécessaires garantissant la sécurité des intervenants<br/> - Construire le plan de progrès à partir de l’analyse des indicateurs et du REX<br/> - Effectuer le reporting de son périmètre</p><p>- Créer des outils et des procédures permettant d’améliorer l’organisation de son équipe<br/> - Contribuer à la préparation des différents audits et y participer <br/> - Respecter et faire respecter les référentiels, les procédures et les normes en vigueur.</p><p>Ce poste basé à Saint-Vulbas (01) nécessitera des déplacements fréquents France entière (1 à 2 jours par semaine).</p><p><p><b> Profil</b></p></p> <p>Issu d'une formation de type Bac +3/5, vous justifiez d'une expérience probante en gestion, supervision de chantiers et encadrement d'équipes.</p><p>Nous recherchons une personne reconnue pour ses qualités relationnelles et décisionnelles, son sens des responsabilités, avec une forte une culture du résultat.</p><p>Une bonne connaissance des exigences liées aux chantiers nucléaires est nécessaire.</p><p>Ce poste est susceptible d’être soumis à une enquête administrative.</p><p>Conformément aux engagements pris par ONET SA en faveur de l’accueil et de l’intégration des personnes en situation de handicap, cet emploi est ouvert à toutes et à tous sous réserve de l’accord de la médecine du travail.</p><p><p><b> Type de contrat</b></p></p><p>Durée indéterminée</p><p><p><b> Statut du poste</b></p></p><p>Cadre</p><p><p><b> Rémunération Affichée</b></p></p><p>Selon profil et expérience</p>",Ain,1,D1509
responsable de secteur,Responsable de secteur ARA (technique CVC),Carrier,"Montluel, Auvergne-Rhône-Alpes, FR",Carrier,9079e53be78e,2020-07-01,"<br/><br/> Missions <p>Directement rattaché au Responsable Service Région, vous aurez pour mission principale de manager et supporter une équipe de techniciens, plus précisément vous serez amené à :</p> <li>Participer au recrutement et à la <b>gestion des performances</b> des collaborateurs (définir leurs objectifs, analyser les résultats, contribuer à leur développement)</li> <li><b>Supporter </b>les techniciens lors de missions complexes : établir un diagnostic, proposer des solutions et participer à l’intervention</li> <li><b>Coordonner</b> au quotidien avec le service Planification les interventions des techniciens et assurer la continuité du service</li> <li>S’assurer de la bonne connaissance et des <b>bonnes pratiques EH&S</b> de l’équipe (réaliser les audits de sécurité des techniciens sur les chantiers)</li> <li><b>Supporter</b> la force de vente Service techniquement</li> <li>S’assurer de la bonne remontée des problèmes de <b>Garantie</b> et retours <b>Qualité</b>, en lien avec l’usine</li> Formation <p>Issu d'un bac pro/ Bac +2 technique en génie thermique, froid ou climatisation ou de compétences équivalentes acquises par l'expérience.</p> Expérience <p>Vous justifiez d'une expérience d'au moins 5 ans sur un poste similaire.</p> Compétences <p>Votre bon relationnel client, votre dynamisme et votre rigueur seront de véritables atouts sur ce poste.</p> <p>Vous détenez une expérience réussie en management d'équipe, êtes force de proposition et d'argumentation. Votre rigueur et votre sens de l'organisation seront un avantage pour la prise de ce poste.</p>",Ain,1,D1509
responsable de secteur,Alternant – Responsable de secteur F/H,Elior France,"null, Auvergne-Rhône-Alpes, FR",Elior France,b06985afb457,2020-07-06,"Description Un grand bol de production culinaire, trois cuillères à soupe de management, une louche de gestion et une belle portion d'animation d'équipe, voici la recette gagnante du métier de chef gérant chez Elior Rejoignez-nous sur ce poste à fortes perspectives d'évolution !Rattaché(e) au responsable de secteur, vous assurez en direct la production culinaire d'un restaurant, tout en animant une équipe, de façon à garantir la satisfaction du client partenaire et des convives. Vous êtes responsable de l'atteinte des objectifs de gestion, dans le cadre des conditions prévues au contrat et dans le respect des procédures internes et normes légales. Au quotidien :- vous établissez le planning de production en fonction du concept du site, des menus conseillés, de la saisonnalité, des effectifs disponibles etc.;- vous assurez la gestion des stocks et organisez la production culinaire de votre site avec le support de votre équipe dont vous planifiez les tâches;- vous déterminez les menus à partir des concepts et du contrat, et veillez à la qualité des repas comme au respect des règles et normes d'hygiène alimentaire. En gestionnaire de qualité :- vous réalisez ou supervisez directement l'ensemble des opérations clés de gestion et participez à la construction du budget de votre restaurant;- vous suivez l'activité prévisionnelle et les estimations en dépenses (matière première, planning main-d'oeuvre - congés, RTT, absences,…). En manager : - vous accueillez et intégrez les nouveaux embauchés;- vous supervisez votre équipe et communiquez sur les objectifs du site;- vous veillez au bon climat social.. Grâce à votre sensibilité commerciale, vous veillez à la satisfaction des convives et entretenez une relation de proximité avec le client afin de favoriser sa satisfaction et sa fidélisation. Profile Manager confirmé(e), vous êtes issu(e) de la filière cuisine et vous avez une expérience dans la gestion d'un centre de profit.La maîtrise des outils informatiques et des notions de comptabilité seront un plus. Votre sens de l'organisation fera la différence. Maîtrise de la relation convives, de la gestion et des normes HACCP Benefits 13ème mois Repas sur placeAvantages CSE Mutuelle Elior Enseignement Elior, filiale d'Elior Group, est n°1 en restauration collective en France. Depuis plus de 25 ans, nous anticipons les évolutions de notre métier, en devançant les attentes et les besoins des enfants, élèves, étudiants, travailleurs, patients et résidents… Au menu plus d'information, de qualité, de proximité, de choix, de flexibilité, de durabilité…Convaincus que la satisfaction de nos convives est le fruit de l'engagement de nos collaborateurs à toujours faire mieux, nous aurons à cœur de vous porter une attention particulière et d'être à l'écoute de vos ambitions, à chaque étape de votre carrière.Comme nos 24 500 collaborateurs, venez exprimer votre passion du service et du « faire plaisir » dans une entreprise qui vous donne tous les moyens d'évoluer et de réussir !",Ain,1,D1509
responsable de secteur,Responsable de secteur nucléaire H/F,Groupe Onet,"Blyes, Auvergne-Rhône-Alpes, FR",Groupe Onet,e012729ce3f0,2020-07-07,"Description du posteOnet, groupe familial français et acteur international référent des métiers de l’ingénierie et des services, accompagne ses clients pour un monde plus sain et plus fiable. Ses activités sont réparties en différents métiers dont l’offre diversifiée repose sur l’expertise de ses 72 000 collaborateurs et ont généré un chiffre d’affaires de 2 milliards d’euros en 2019.Onet Technologies, division nucléaire du groupe Onet, est un des leaders français de l’industrie du nucléaire avec 2900 collaborateurs et un Chiffre d’Affaires de 292 millions d’euros.Rattaché au Responsable de l'activité ""soutien à l'exploitant et à l'opérateur"", le Responsable de secteur gère l'ensemble des moyens techniques et humains rattachés à son périmètre afin d'en assurer les objectifs de rentabilité et de développement.A ce titre, les missions qui vous seront confiées sont les suivantes :- Mettre en place et piloter l'organisation - Gérer et animer les équipes de son périmètre - Participer au suivi et à l’évolution de carrière de ses collaborateurs- Assurer la rentabilité de son périmètre par la maîtrise des coûts et l'entretien des relations commerciales - Suivre et analyser les résultats d’exploitation- Proposer et mener les actions correctives - Entretenir et développer les relations de confiance avec les clients - Établir les propositions techniques et commerciales- Participer au chiffrage des réponses à appels d’offres - Manager, de façon qualitative et quantitative, les moyens humains et matériels - Valider les orientations techniques - Conduire (ou participer à) des réunions clients et défendre les axes stratégiques, techniques, contractuels définis - Sélectionner et participer aux choix des fournisseurs et des sous-traitants, puis les suivre et les évaluer- Suivre les chantiers et entretenir la relation client- Proposer des axes d’amélioration continue (en terme RH, organisationnel, Q3SER, investissement etc.) - Analyser les situations à risques et mettre en œuvre tous les moyens nécessaires garantissant la sécurité des intervenants - Construire le plan de progrès à partir de l’analyse des indicateurs et du REX - Effectuer le reporting de son périmètre- Créer des outils et des procédures permettant d’améliorer l’organisation de son équipe - Contribuer à la préparation des différents audits et y participer - Respecter et faire respecter les référentiels, les procédures et les normes en vigueur.Ce poste basé à Saint-Vulbas (01) nécessitera des déplacements fréquents France entière (1 à 2 jours par semaine). Profil Issu d'une formation de type Bac +3/5, vous justifiez d'une expérience probante en gestion, supervision de chantiers et encadrement d'équipes.Nous recherchons une personne reconnue pour ses qualités relationnelles et décisionnelles, son sens des responsabilités, avec une forte une culture du résultat.Une bonne connaissance des exigences liées aux chantiers nucléaires est nécessaire.Ce poste est susceptible d’être soumis à une enquête administrative.Conformément aux engagements pris par ONET SA en faveur de l’accueil et de l’intégration des personnes en situation de handicap, cet emploi est ouvert à toutes et à tous sous réserve de l’accord de la médecine du travail. Type de contratDurée indéterminée Statut du posteCadre Rémunération AffichéeSelon profil et expérience",Ain,1,D1509
promoteur des ventes,promoteur des ventes – findus F/H,Actiale,"Nice, Provence-Alpes-Côte d'Azur, FR",Actiale,57fe4df180fd,2020-06-30,"<p><p><b> L'entreprise </b></p></p> <p>Nous accompagnons de nombreuses marques de grande consommation, dans la valorisation de leurs produits en point de vente. </p><p>Pour accompagner le développement de nos partenariats clients, nous recherchons des personnes attirées par le dynamisme de l’univers de la grande distribution pour des postes de commerciaux, animateurs, merchandiseurs.</p><p>Si la vente, la valorisation du produit, l’atteinte des objectifs et les défis personnels sont vos moteurs au quotidien, postulez dès maintenant pour rejoindre une équipe professionnelle, active et motivée, soucieuse des valeurs humaines.</p> <p><p><b> Description du poste</b></p></p> <p>Nous recherchons, pour l’un de nos clients spécialisé dans les surgelés, 1 promoteur des ventes (H/F) sur le secteur de Nice.</p><p><b>Type de Contrat</b><b> : CDD du 7 septembre au 13 novembre 2020</b></p><p><b>Formation sur l’île-De-France les 7 et 8 septembre 2020</b><br/></p><p>Votre mission consiste à :</p> <li>Augmenter la DN sur les principales références de la marque</li> <li>Assurer la présence des innovations en fonction des typologies de point de vente. </li> <li>Assurer les implantations, réimplantations et recadrages</li> <li>Assurer un reporting qualitatif et quantitatif via vos tablettes suivant le rythme demandé dans le cadre de la mission</li> <p><b>Conditions :</b></p> <p><b>Frais de vie</b></p><p>Déjeuner : Forfait 12€ et maxi 19 € au réel (sur justificatifs)</p><p>Autres frais professionnels : remboursement au réel (sur justificatifs)</p><p>Package : Voiture société / Tablette connectée / participation forfait téléphone portable</p> <p><p><b> Profil recherché</b></p></p> <p>De formation bac + 2 à dominante commerciale, Homme ou Femme de terrain, dynamique et enthousiaste.</p><p>Une première expérience dans l’univers de la grande distribution est impérative. Connaitre l’univers Surgelé est un réel plus.</p><p>Vous savez restituer une argumentation produit simple.</p><p>Organisation, rigueur et autonomie seront les atouts majeurs de votre réussite dans le cadre de l’organisation de votre activité</p><p>La maîtrise de l’outil informatique (pack office) est requise</p><p>Autres : Permis B depuis au moins 2 ans</p>",Alpes-Maritimes,6,M1706
responsable de secteur,Alternance Responsable de secteur - L&#039;île de la Réunion (97) H/F,CorTech,"Saint Paul de Vence, Provence-Alpes-Côte d'Azur, FR",CorTech,f56d24bcd695,2020-07-06,"<p><p><b>Description:</b></p></p> <b>En un coup d'oeil</b><p>Alternances à compter de juin 2020</p><b>Notre offre</b><p>Au sein de l’équipe Nestlé la réunion, vous intégrer le service commercial dans le but de développer le chiffre d’affaire et les parts de marché de toutes les catégories commercialisées par Nestlé Réunion, d’optimiser la mise en place des accords commerciaux et de développer l’image de marque de Nestlé.</p><b>Vos missions</b><p>Sous la responsabilité de la responsable régional des ventes, vous :</p> <li>Suivez les assortiments et la distribution Numérique</li> <li>Présentez, Référencez et commandez les nouveautés</li> <li>Proposez des plans merchandising adaptés aux spécificités du point de vente</li> <li>Négociez les opérations promotionnelles et passez commandes (via les outils informatiques)</li> <li>Optimisez les moyens d’animations, PLV, ILV </li> <li>Remontez les informations sur le marché, les clients et la concurrence sur le secteur.</li> <li>Mettrez à jour les bases de données informatiques nécessaires au suivi d’activité et l’atteinte des objectifs.</li> <b>Vous</b> <li>Préparez un diplôme de niveau Bac+2/3 en école de d’ingénieur ou université spécialisé en commerce</li> <li>Êtes reconnu(e) pour votre rigueur, autonomie, curiosité et votre prise d’initiative</li> <li>Avez le permis B</li> <li>Maitrisez le Pack Office (Excel, Word)</li> <b>Vos avantages</b> <li>Une <b>formation</b> dans des domaines variés </li> <li><b>Des opportunités de carrières</b> et accompagnement vers l’emploi avec le programme <b>Nestlé Needs YOUth</b></li> <p>Cette alternance, de 12 ou 24 mois, basée à la réunion (97) est à pourvoir à partir de juin 2020</p> <p><b> Afin d’étudier de façon efficace votre candidature, merci de préciser votre contrat et rythme d’alternance</b></p> <p>Qui que vous soyez, d’où que vous veniez, nous sommes convaincus que diversité et performance vont de pair : </p> <p>Nous portons la même attention à toutes les candidatures.</p> <p>C’est grâce à votre passion que Nestlé continuera à améliorer la vie des gens dans le monde entier</p> <p> TBD</p> <p><b>Organization</b>: JobsRUs.com </p> <p><b>Posted Date</b>: 06/22/2020 </p>",Alpes-Maritimes,6,D1509
responsable de secteur,ASSISTANT RESPONSABLE DE SECTEUR H/F,Onela Menton,"Menton, Provence-Alpes-Côte d'Azur, FR",Talentplug,4556e80711f9,2020-06-30,"A propos de l'entreprise :<br>ONELA est un spécialiste de l'aide à domicile, reconnu pour la qualité de ses prestations à destination des personnes âgées, handicapées et en convalescence, ainsi qu'à leurs aidants. Avec plus de 70 agences en France, ONELA participe aujourd'hui au bien-être de plus de 12 000 personnes sur l'ensemble du territoire.<br>Profil recherché :<br>Compétences attendues :- Bonne communication orale et écrite- Travail en équipe- Réactivité, adaptabilité- RigueurA compétences égales, priorité aux travailleurs handicapés et autres bénéficiaires de l'obligation d'emploi<br>A propos du poste :<br>Rattaché(e) à l'agence, vous participerez activement aux missions suivantes :Organiser les interventions à domicile et gérer le planningAssurer le suivi des heures de travail du personnelEvaluer et répondre aux besoins des clients et du personnelAssurer le recrutement et la gestion administrative du personnelAnimer l'équipe du personnelGarantir la qualité des interventions et la satisfaction des clients",Alpes-Maritimes,6,D1509
responsable de secteur,Responsable de Secteur Cannes (F/H),RB,"null, Provence-Alpes-Côte d'Azur, FR",RB,db3e7e6b7182,2020-07-03,"Dans le cadre d’un remplacement, nous recrutons un(e) Responsable de Secteur dans la zone de Cannes. Rattaché(e) au Chef des Ventes Régional, vous contribuez au développement commercial de nos marques dans les hypermarchés et les supermarchés de votre secteur : Vous optimisez l’assortiment, les moyens promotionnels et la qualité d’implantation des produits. Vous êtes entrepreneur, négociateur, orienté(e) résultats. Votre profil : Diplômé(e) BAC+5 (type Grande Ecole de Commerce), vous disposez d’une expérience significative sur une fonction commerciale au sein d'une entreprise de Grande Consommation Votre relationnel, votre dynamisme, votre adaptabilité ainsi que votre sens de l’effort vous permettront réellement de vous épanouir dans ce poste Vous avez le Permis B Conditions : CDI Rémunération fixe + primes mensuelles Intéressement et Participation Véhicule de fonction Secteur à pourvoir à Cannes et sa région (résidence sur zone commerciale)",Alpes-Maritimes,6,D1509
responsable de secteur,TECHNICIEN DE MAINTENANCE – RESPONSABLE DE SECTEUR – F/H – CDI                                            Consulter,TOURNAIRE SA,"Grasse, Provence-Alpes-Côte d'Azur, FR",TOURNAIRE SA,3cad84585cad,2020-07-05,"Description :    Notre Division Emballage à Grasse développe une expertise unique dans la conception, la fabrication et la commercialisation d’emballages barrières permettant le transport à travers le monde, en toute sécurité, de produits sensibles ou fragiles. Aujourd’hui, avec la gamme la plus complète du marché, la division Emballage approvisionne des secteurs variés : la santé, la protection des cultures, la parfumerie, le bien être, l’agroalimentaire et les compléments nutritionnels ou encore la chimie de spécialité, l’électronique et les laboratoires, en offrant le plus haut niveau de qualité, de service et de sécurité.    Missions :   Sous la direction du Responsable Maintenance, le Technicien de Maintenance – Responsable de Secteur rédige les plans de maintenance (préventive et curative) de chacune des machines et est le garant des interventions de Maintenance ; De la planification à la remise en route en passant par la gestion des ressources nécessaires à l’intervention (pièces, moyens, personnel…) ainsi que par le contrôle du respect des méthodes (IMAI) et de la qualité de l’intervention. Par son action, il augmente la disponibilité des machines pour la production.  Il entretient des liens transverses avec les autres services en particulier la Production, les Méthodes et le Bureau d’Etudes. Il est un acteur du partage, de la capitalisation et de la transmission des connaissances tant au niveau du service que du personnel de production.    Compétences Maitrisées :   Le candidat s’appuie sur une très bonne maîtrise technique pluridisciplinaire (mécanique, électrotechnique, hydraulique et automatisme).  Il devra faire preuve de belles qualités relationnelles et pédagogiques pour travailler efficacement en équipe, afin de s’enrichir et/ou transmettre rapidement des savoir-faire techniques propres aux procédés spécifiques existants dans l’entreprise.  Rigoureux et organisé, avec des capacités d’analyse développées, sa fiabilité ainsi que son expertise technique, il est le référent lors des chantiers et efficace notamment lors de dépannages ponctuels. Il est force de proposition dans la recherche des solutions (AMDEC – Remontée d’Informations). Ouvert et curieux, il doit être réceptif aux nouvelles technologies (robotique, automatisme, vision…) et à leurs applications potentielles accompagnant l’évolution et/ou l’amélioration de l’outil industriel de l’entreprise.   Votre profil :    De formation BTS ou Licence Maintenance Industrielle, vous possédez au minimum 3 ans d’expérience dans le dépannage de lignes de production au sein d’un service de maintenance en équipes successives alternantes (3*8, 2*8…). Au cours de cette expérience, vous avez géré vos dépannages de la commande des pièces au compte rendu final en passant par la réparation.  Vous souhaitez vous épanouir au sein d’une entreprise dynamique du secteur industriel, nous serons heureux de vous accueillir au sein de notre équipe.",Alpes-Maritimes,6,D1509
