company,date,naf,num_emp
ARMANDIE RH,20-12-2010,Activités des agences de travail temporaire (7820Z),6 à 9 salariés
FID RH,02-01-2014,Conseil pour les affaires et autres conseils de gestion (7022Z),6 à 9 salariés
PHI RH,29-07-2011,Autre mise à disposition de ressources humaines (7830Z),6 à 9 salariés
CTI SUD,06-08-1996,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (4651Z)",Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
TALENTS RH,12-06-2007,Autres activités de soutien aux entreprises n.c.a. (8299Z),
Domitys,19-07-2000,Restauration traditionnelle (5610A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
RH Partners,25-02-1998,Autres activités de soutien aux entreprises n.c.a. (8299Z),3 à 5 salariés
NETMAN,25-09-2006,Construction de maisons individuelles (4120A),
Morgan Philips Executive Search,04-11-2013,Conseil pour les affaires et autres conseils de gestion (7022Z),6 à 9 salariés
E.Leclerc,24-07-1984,Hypermarchés (4711F),250 à 499 salariés
UNICOQUE,26-07-1979,Commerce de gros (commerce interentreprises) de fruits et légumes (4631Z),100 à 199 salariés
CTS Corporate,04-08-2004,Traduction et interprétation (7430Z),1 à 2 salariés
GROUPE PIMENT,21-03-2006,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
Cadev,11-01-2016,"Ingénierie, études techniques (7112B)",20 à 49 salariés
CNIM,,Activités des syndicats de salariés (9420Z),1 à 2 salariés
Boehringer Ingelheim,,Fabrication de produits pharmaceutiques de base (2110Z),
Manpower,,Activités des syndicats de salariés (9420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
TEKNIAERO,15-09-2016,Construction aéronautique et spatiale (3030Z),3 à 5 salariés
Euralis,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Unither,27-08-2002,Location de terrains et d'autres biens immobiliers (6820B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
ARTERRIS,03-02-1995,Autres activités de soutien aux entreprises n.c.a. (8299Z),10 à 19 salariés
VTE-France,23-03-2018,Autres activités de télécommunication (6190Z),
ISS France,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
DE GRAET,09-07-2019,Conseil pour les affaires et autres conseils de gestion (7022Z),
Lactalis,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
Proman interim,12-05-2003,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
CNRS,,Recherche-développement en sciences humaines et sociales (7220Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Michael Page,,Activités des agences de placement de main-d'oeuvre (7810Z),
Groupe Actual,13-07-2001,Activités des sociétés holding (6420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
