company_name,distance,jobs,location,num_employees,rating,rome_code
SATAR,95.8,Opérateur cariste,AGEN,0,4.4,N1101
AXE TRAVAIL TEMPORAIRE,42,Adjointe RH,AUCH,1,2.5,M1501
O2,78.6,Adjointe RH,MONT,0,2.5,M1501
MAIRIE,56.7,TECHNICIEN SERVICES GENERAUX,BAREGES,10,3,I1203
MAIRIE,100,Adjointe RH,BLAGNAC,0,4.2,M1501
MANPOWER FRANCE,93.5,Adjointe RH,BOE,3,4.4,M1501
KDI METAL BARBIER BESSON,92.9,Opérateur cariste,COLOMIERS,20,3.4,N1101
AIRBUS,98.4,Manager en ressources humaines,BLAGNAC,0,2.5,M1503
,,,,,,
SDIS64,45.1,Adjointe RH,PAU,0,4.4,M1501
RANDSTAD,91.4,Adjointe RH,MURET,0,4.5,M1501
GROUPE LE PISTON FRANCAIS,98.3,Technicien Qualite Support des Operations,BLAGNAC,20,2.5,H1506
SURCA,90.8,Opérateur de tri selectif,PLAISANCE,100,2.5,K2304
CAPGEMINI TECHNOLOGY SERVICES,98.1,Manager en ressources humaines,BLAGNAC,0,2.5,M1503
AMG INDUSTRIE,61.2,Technicien Qualite Support des Operations,ARUDY,1,2.5,H1506
BATI + 65,17.2,Opérateur de tri selectif,AUREILHAN,0,2.5,K2304
AQUILA RH,47.4,Adjointe RH,SERRES,1,3.8,M1501
,,,,,,
MAIRIE,47.9,Adjointe RH,PAU,1000,3.9,M1501
LE&C GS,97.2,Adjointe RH,TOULOUSE,1000,4.4,M1501
,,,,,,
CA PAU BEARN PYRENEES,47.8,Adjointe RH,PAU,0,4.2,M1501
COMMUNAUTE DE COMMUNES DES HAUTS TOLOSAN,97.2,Adjointe RH,GRENADE,0,3.7,M1501
,,,,,,
PYRENEES PARTA 'GE,45.4,TECHNICIEN SERVICES GENERAUX,PAU,0,3.1,I1203
LA GRANDE BRASSERIE DE LA GARE,96.2,Manager en ressources humaines,AGEN,0,2.5,M1503
MAIRIE TARBES/CAISSE DES ECOLES,19.7,Adjointe RH,CDE,50,3.6,M1501
ALBRET COMMUNAUTÉ,83.1,TECHNICIEN SERVICES GENERAUX,NERAC,0,2.7,I1203
BPC TRAITEUR,33.5,Opérateur cariste,SEISSAN,50,3.1,N1101
SUD'N SOL AGEN,92.7,Opérateur cariste,ESTILLAC,0,3.8,N1101
MAIRIE DE HAGETMAU,70.1,TECHNICIEN SERVICES GENERAUX,HAGETMAU,50,2.5,I1203
,,,,,,
SATYS,97.4,Opérateur process poudrage,BLAGNAC,250,4.6,H3404
ADF TECHNOLOGIES,95.1,Technicien Qualite Support des Operations,COLOMIERS,0,2.5,H1506
MCDONALD,96.1,Professionnel de restauration,AGEN,20,4.4,G1803
CA PAU BEARN PYRENEES,47.8,TECHNICIEN SERVICES GENERAUX,PAU,0,4.5,I1203
CAISSE D'ALLOCATIONS FAMILIALES DU LOT E,96.2,Adjointe RH,AGEN,100,4,M1501
MASER ENGINEERING,95.3,Manager en ressources humaines,COLOMIERS,50,2.5,M1503
MAIRIE,94.2,Adjointe RH,COLOMIERS,1000,3.7,M1501
PETR PAYS LOURDES VALLEES GAVES,39.7,Manager en ressources humaines,LOURDES,0,2.5,M1503
UNION CEPIERE ROBERT MONNIER,98.4,Manager en ressources humaines,TOULOUSE,250,2.5,M1503
PREVIFRANCE,96.1,Adjointe RH,AGEN,50,3.4,M1501
TERREAL,92.9,Technicien/ne de maintenance,COLOMIERS,100,3.8,I1304
PROSERVIA,98.1,Adjointe RH,BLAGNAC,100,3.5,M1501
CC DU NORD EST BEARN,37.3,Manager en ressources humaines,MORLAAS,0,2.5,M1503
SAFRAN HELICOPTER ENGINES,42.5,Opérateur process poudrage,BORDES,2000,3.9,H3404
SOLEAL,63.9,Opérateur cariste,BORDERES,0,4.7,N1101
CARGO,96,Manager en ressources humaines,TOULOUSE,100,2.7,M1503
,,,,,,
SARL SADLER,51.3,Opérateur process poudrage,LONS,10,3.8,H3404
MANPOWER FRANCE,95.5,Adjointe RH,COLOMIERS,0,4.7,M1501
,,,,,,
,,,,,,
HOTEL SAINT SAUVEUR***,39.3,Professionnel de restauration,LOURDES,20,4.5,G1803
SOULE PEINTURES INDUSTRIELLES AERO,90.8,Opérateur process poudrage,MAULEON,100,3.8,H3404
MAIRIE,41.4,TECHNICIEN SERVICES GENERAUX,AUCH,250,3,I1203
MAIRIE,81.6,TECHNICIEN SERVICES GENERAUX,FONTENILLES,20,2.5,I1203
SOPRA GROUP,92.1,Adjointe RH,COLOMIERS,500,4.4,M1501
POIVRE ROUGE,25,Responsable restaurant,JUILLAN,10,2.5,G1802
GOZOKI,92.7,Manager en ressources humaines,ESTILLAC,0,2.5,M1503
ATHOS AERONAUTIQUE,96.4,Opérateur process poudrage,TOULOUSE,200,3.9,H3404
,,,,,,
FLUNCH,48.8,Responsable restaurant,GOURDAN,0,3.4,G1802
CENTRE GESTION FONCTION PUB TERRITORIALE,79,TECHNICIEN SERVICES GENERAUX,MONT,250,4.4,I1203
FARBOS SAS,84.3,Opérateur cariste,ARUE,10,3.6,N1101
INTER RELAIS,100,TECHNICIEN SERVICES GENERAUX,BLAGNAC,20,4.4,I1203
MAIRIE,97.6,TECHNICIEN SERVICES GENERAUX,PORTET,100,3.7,I1203
FLUNCH,94.9,Professionnel de restauration,ROQUES,20,4.4,G1803
,,,,,,
INSTITUT SAINT SIMON,96.8,Adjointe RH,TOULOUSE,200,3.6,M1501
BEARN COURSES EXPRESS,41.1,Opérateur cariste,MORLAAS,0,3.7,N1101
DOLCE VITA,20.9,Responsable restaurant,TARBES,3,2.5,G1802
TOMA INTERIM,93.7,Adjointe RH,BOE,0,3.5,M1501
MAIRIE,73.5,TECHNICIEN SERVICES GENERAUX,MEZIN,20,3,I1203
WELLJOB INTERIM,47.9,Adjointe RH,PAU,0,3.5,M1501
MAIRIE,82.9,TECHNICIEN SERVICES GENERAUX,NERAC,50,2.7,I1203
MC DONALD'S,52.3,Professionnel de restauration,AIRE,0,4.4,G1803
AROBASE TRAVAIL TEMPORAIRE,63.7,Adjointe RH,ARTIX,20,3.6,M1501
MANPOWER FRANCE,21.2,Adjointe RH,TARBES,3,4.5,M1501
AIRBUS,98.6,Opérateur process poudrage,BLAGNAC,5000,4.4,H3404
T3S TECNIC SERIGRAPHIE SERVICE,92.2,Opérateur process poudrage,TOURNEFEUILLE,20,3.4,H3404
CGI FRANCE,96.8,Adjointe RH,TOULOUSE,500,3.8,M1501
AZAE PAU,48.6,Manager en ressources humaines,PAU,0,2.5,M1503
,,,,,,
SOC D EXPLOITATION THERMIQUE DU MIRAIL,98.1,Opérateur cariste,TOULOUSE,50,3.1,N1101
MICROTEC,48.1,Technicien Qualite Support des Operations,SERRES,50,2.5,H1506
COMPASS GROUP FRANCE ENSEIGNEMENT SANTE,96.7,Responsable restaurant,CORNEBARRIEU,50,4.4,G1802
,,,,,,
BETON FRAPPE,96.6,Opérateur cariste,MERVILLE,10,3.7,N1101
MECANIQUE AERONAUTIQUE PYRENEENNE,47.4,Opérateur process poudrage,SERRES,200,3.6,H3404
CAFETERIA GREENWICH,23.4,Professionnel de restauration,IBOS,20,4.4,G1803
RANDSTAD,22.5,Adjointe RH,TARBES,3,3.3,M1501
ARANDA,21.8,Technicien Qualite Support des Operations,SOUES,10,2.5,H1506
,,,,,,
HOTEL MERCURE,64.7,Professionnel de restauration,SAINT,20,4.4,G1803
MANPOWER,44.5,Adjointe RH,PAU,10,4,M1501
SODEXO ENTREPRISES ADMINISTRATIONS,95.9,Responsable restaurant,TOULOUSE,20,4.4,G1802
MANPOWER,78.9,Adjointe RH,MONT,1,3.5,M1501
MANPOWER,43.4,Adjointe RH,AUCH,3,4,M1501
,,,,,,
MACIF,96.3,Manager en ressources humaines,AGEN,100,2.5,M1503
CAF DES LANDES,79.4,Adjointe RH,MONT,100,4.4,M1501
ENEXSE,95.9,Technicien Qualite Support des Operations,TOULOUSE,10,2.5,H1506
CAF,21,Adjointe RH,TARBES,100,4,M1501
ISS LOGISTIQUE ET PRODUCTION,95.5,Adjointe RH,COLOMIERS,50,3.6,M1501
SII SOC POUR L INFORMATIQUE INDUSTRIEL,97.2,Manager en ressources humaines,TOULOUSE,500,2.5,M1503
CREPT FORMATION,99.6,Adjointe RH,TOULOUSE,20,3.7,M1501
MANPOWER,44.5,Manager en ressources humaines,PAU,10,2.5,M1503
B & T ASSOCIES,98,Manager en ressources humaines,BLAGNAC,0,2.7,M1503
SYDEC,79,Adjointe RH,MONT,250,3.8,M1501
MGR PYRENEES,15,Technicien Qualite Support des Operations,ANDREST,0,2.5,H1506
TPM AEROMONTAGE,36.8,Technicien Qualite Support des Operations,LOURDES,10,2.5,H1506
PETR PAYS LOURDES VALLEES GAVES,39.7,Adjointe RH,LOURDES,0,3.6,M1501
MECAPROTEC INDUSTRIES,92.3,Opérateur process poudrage,MURET,500,4.7,H3404
CTE SOLIDAR MEUBLES SECOURS POPUL FR,20.7,TECHNICIEN SERVICES GENERAUX,TARBES,10,3.6,I1203
ELIOR SERVICES,85.1,Adjointe RH,FONSORBES,500,3.4,M1501
CAMPING LE PARDAILLAN,54.1,TECHNICIEN SERVICES GENERAUX,GONDRIN,1,3.8,I1203
ESPACE,91.8,Technicien Qualite Support des Operations,MURET,50,2.5,H1506
,,,,,,
MANPOWER,43.4,Manager en ressources humaines,AUCH,3,2.5,M1503
REGIE DE QUARTIER,98.6,TECHNICIEN SERVICES GENERAUX,TOULOUSE,20,3.6,I1203
UNIVERSITE DE PAU ET DU PAYS DE L ADOU,46.9,Adjointe RH,PAU,1000,4.2,M1501
FEDERATION DEPARTEMENTALE PYRENE PLUS,20.5,Adjointe RH,TARBES,500,3.1,M1501
AIR PA,93.5,Opérateur process poudrage,CUGNAUX,0,4.6,H3404
JOL ENERGY,97.9,Manager en ressources humaines,TOULOUSE,10,2.5,M1503
MECAMESURES TECHNOLOGIES,97.9,Technicien Qualite Support des Operations,TOULOUSE,20,2.5,H1506
SCOLAREST 2529,52.4,Responsable restaurant,SAINT,10,4.4,G1802
DUPIRE,38.3,Opérateur process poudrage,LOURDES,6,3.1,H3404
ALTRAN TECHNOLOGIES,98.3,Technicien Preparateur Process,BLAGNAC,1000,4.5,H1404
JCB AERO,46.2,Opérateur process poudrage,AUCH,0,3.3,H3404
MANPOWER FRANCE,60,Adjointe RH,GIMONT,0,3.8,M1501
,,,,,,
TARMAC AEROSAVE,27,Opérateur process poudrage,AZEREIX,0,3.9,H3404
CAISSE PRIMAIRE ASSURANCE MALADIE,95.4,Adjointe RH,AGEN,200,3.6,M1501
SAMSIC EMPLOI MIDI PYRENEES TOULOUSE,95.3,Adjointe RH,COLOMIERS,0,3.6,M1501
AUSY,96.2,Adjointe RH,TOULOUSE,500,3.1,M1501
