company_name,distance,jobs,location,num_employees,rating,rome_code
AXE TRAVAIL TEMPORAIRE,42.0 48 min en voiture,Adjointe RH,AUCH,1 ou 2 salariés,2.5,M1501
O2,78.6 89 min en voiture,Adjointe RH,MONT,0 salarié,2.5,M1501
MAIRIE,100.0 105 min en voiture,Adjointe RH,BLAGNAC,0 salarié,4.2,M1501
MANPOWER FRANCE,93.5 112 min en voiture,Adjointe RH,BOE,3 à 5 salariés,4.4,M1501
SDIS64,45.1 57 min en voiture,Adjointe RH,PAU,0 salarié,4.4,M1501
RANDSTAD,91.4 91 min en voiture,Adjointe RH,MURET,0 salarié,4.5,M1501
AQUILA RH,47.4 58 min en voiture,Adjointe RH,SERRES,1 ou 2 salariés,3.8,M1501
MAIRIE,47.9 59 min en voiture,Adjointe RH,PAU,1 000 à 1 999 salariés,3.9,M1501
LE&C GS,97.2 101 min en voiture,Adjointe RH,TOULOUSE,1 000 à 1 999 salariés,4.4,M1501
CA PAU BEARN PYRENEES,47.8 59 min en voiture,Adjointe RH,PAU,0 salarié,4.2,M1501
COMMUNAUTE DE COMMUNES DES HAUTS TOLOSAN,97.2 112 min en voiture,Adjointe RH,GRENADE,0 salarié,3.7,M1501
MAIRIE TARBES/CAISSE DES ECOLES,19.7 25 min en voiture,Adjointe RH,CDE,50 à 99 salariés,3.6,M1501
CAISSE D'ALLOCATIONS FAMILIALES DU LOT E,96.2 115 min en voiture,Adjointe RH,AGEN,100 à 199 salariés,4.0,M1501
MAIRIE,94.2 99 min en voiture,Adjointe RH,COLOMIERS,1 000 à 1 999 salariés,3.7,M1501
PREVIFRANCE,96.1 115 min en voiture,Adjointe RH,AGEN,50 à 99 salariés,3.4,M1501
PROSERVIA,98.1 104 min en voiture,Adjointe RH,BLAGNAC,100 à 199 salariés,3.5,M1501
MANPOWER FRANCE,95.5 101 min en voiture,Adjointe RH,COLOMIERS,0 salarié,4.7,M1501
SOPRA GROUP,92.1 98 min en voiture,Adjointe RH,COLOMIERS,500 à 999 salariés,4.4,M1501
INSTITUT POLYTECHNIQUE DE BORDEAUX,76.4 87 min en voiture,Adjointe RH,TALENCE,0 salarié,3.9,M1501
LEO LAGRANGE SUD OUEST,97.2 101 min en voiture,Adjointe RH,TOULOUSE,0 salarié,4.5,M1501
INSTITUT SAINT SIMON,96.8 101 min en voiture,Adjointe RH,TOULOUSE,200 à 249 salariés,3.6,M1501
TOMA INTERIM,93.7 113 min en voiture,Adjointe RH,BOE,0 salarié,3.5,M1501
WELLJOB INTERIM,47.9 57 min en voiture,Adjointe RH,PAU,0 salarié,3.5,M1501
AROBASE TRAVAIL TEMPORAIRE,63.7 64 min en voiture,Adjointe RH,ARTIX,20 à 49 salariés,3.6,M1501
MANPOWER FRANCE,21.2 27 min en voiture,Adjointe RH,TARBES,3 à 5 salariés,4.5,M1501
CGI FRANCE,96.8 102 min en voiture,Adjointe RH,TOULOUSE,500 à 999 salariés,3.8,M1501
CF EXPERTS,98.5 101 min en voiture,Adjointe RH,TOULOUSE,0 salarié,3.4,M1501
RANDSTAD,22.5 29 min en voiture,Adjointe RH,TARBES,3 à 5 salariés,3.3,M1501
MANPOWER,44.5 56 min en voiture,Adjointe RH,PAU,10 à 19 salariés,4.0,M1501
MANPOWER,78.9 87 min en voiture,Adjointe RH,MONT,1 ou 2 salariés,3.5,M1501
MANPOWER,43.4 51 min en voiture,Adjointe RH,AUCH,3 à 5 salariés,4.0,M1501
CAF DES LANDES,79.4 89 min en voiture,Adjointe RH,MONT,100 à 199 salariés,4.4,M1501
CAF,21.0 26 min en voiture,Adjointe RH,TARBES,100 à 199 salariés,4.0,M1501
ISS LOGISTIQUE ET PRODUCTION,95.5 101 min en voiture,Adjointe RH,COLOMIERS,50 à 99 salariés,3.6,M1501
CREPT FORMATION,99.6 98 min en voiture,Adjointe RH,TOULOUSE,20 à 49 salariés,3.7,M1501
SYDEC,79.0 88 min en voiture,Adjointe RH,MONT,250 à 499 salariés,3.8,M1501
PETR PAYS LOURDES VALLEES GAVES,39.7 50 min en voiture,Adjointe RH,LOURDES,0 salarié,3.6,M1501
ELIOR SERVICES,85.1 99 min en voiture,Adjointe RH,FONSORBES,500 à 999 salariés,3.4,M1501
MEDICOOP MIDI PYRENEES,97.6 101 min en voiture,Adjointe RH,TOULOUSE,0 salarié,4.4,M1501
UNIVERSITE DE PAU ET DU PAYS DE L ADOU,46.9 55 min en voiture,Adjointe RH,PAU,1 000 à 1 999 salariés,4.2,M1501
FEDERATION DEPARTEMENTALE PYRENE PLUS,20.5 26 min en voiture,Adjointe RH,TARBES,500 à 999 salariés,3.1,M1501
MANPOWER FRANCE,60.0 70 min en voiture,Adjointe RH,GIMONT,0 salarié,3.8,M1501
CAISSE PRIMAIRE ASSURANCE MALADIE,95.4 115 min en voiture,Adjointe RH,AGEN,200 à 249 salariés,3.6,M1501
SAMSIC EMPLOI MIDI PYRENEES TOULOUSE,95.3 101 min en voiture,Adjointe RH,COLOMIERS,0 salarié,3.6,M1501
AUSY,96.2 100 min en voiture,Adjointe RH,TOULOUSE,500 à 999 salariés,3.1,M1501
ACCENTURE,98.1 106 min en voiture,Adjointe RH,BLAGNAC,100 à 199 salariés,3.3,M1501
"""""""SYNERGIE""""""",62.5 73 min en voiture,Adjointe RH,FLEURANCE,1 ou 2 salariés,3.3,M1501
CONSEIL DEPARTEMENTAL,94.4 113 min en voiture,Adjointe RH,AGEN,1 000 à 1 999 salariés,3.9,M1501
LEVERT,98.6 107 min en voiture,Adjointe RH,SEILH,20 à 49 salariés,4.2,M1501
DELEGATION REGIONALE DE MIDI,98.0 100 min en voiture,Adjointe RH,PYRENEES ,100 à 199 salariés,3.9,M1501
INSTEP,97.3 101 min en voiture,Adjointe RH,TOULOUSE,0 salarié,4.4,M1501
CAISSE ASSURANCE MALADIE,41.9 49 min en voiture,Adjointe RH,AUCH,100 à 199 salariés,3.0,M1501
AKKA SERVICES,98.1 106 min en voiture,Adjointe RH,BLAGNAC,50 à 99 salariés,3.3,M1501
