company_name,cp,department,distance,jobs,location,num_employees,rating,rome_code
SOCORPI,75001,Paris,3.1,,PARIS,0 salarié,2.7,C1501
GESTION ET TRANSACTIONS DE FRANCE,75001,Paris,5.2,,PARIS,0 salarié,4.5,C1501
GECINA,75001,Paris,4.3,,PARIS,0 salarié,4.4,C1501
EURIGEST,75001,Paris,4.1,,PARIS,6 à 9 salariés,4.2,C1501
WERELDHAVE MANAGEMENT FRANCE,75001,Paris,6.0,,PARIS,20 à 49 salariés,4.6,C1501
SINOUHE IMMOBILIER,75001,Paris,6.1,,PARIS,50 à 99 salariés,4.2,C1501
CABINET MINARD,75001,Paris,6.5,,PARIS,10 à 19 salariés,4.4,C1501
AGIA,75001,Paris,6.7,,PARIS,0 salarié,4.2,C1501
NEXITY LAMY,75001,Paris,10.9,,BOIS,20 à 49 salariés,4.2,C1501
GTF,75001,Paris,4.6,,PARIS,0 salarié,4.4,C1501
IRIMMO,75001,Paris,10.5,,IRIS IMMOBILIER,0 salarié,4.2,C1501
FINANCIERE APSYS,75001,Paris,6.9,,PARIS,0 salarié,4.5,C1501
STE RESIDENCES LE LOGEMENT DES FONCTIONN,75001,Paris,6.4,,PARIS,0 salarié,4.5,C1501
LES RESIDENCES SOCIETE ANONYME D'HABITAT,75001,Paris,17.5,,VERSAILLES,0 salarié,4.2,C1501
FONCIA AGENCE CENTRALE,75001,Paris,5.1,,MONTROUGE,0 salarié,4.4,C1501
GROSVENOR CONTINENTAL EUROPE,75001,Paris,4.9,,PARIS,0 salarié,4.4,C1501
PROXIGES,75001,Paris,6.7,,PARIS,0 salarié,4.2,C1501
TELMMA,75001,Paris,9.6,,COURBEVOIE,0 salarié,4.4,C1501
ACCESSITE,75001,Paris,5.8,,PARIS,0 salarié,4.5,C1501
CABINET MAURY,75001,Paris,5.7,,SCHWOB ,0 salarié,4.2,C1501
ONYX IMMOBILIER,75001,Paris,5.7,,PARIS,0 salarié,4.2,C1501
FONCIA PARIS RIVE GAUCHE,75001,Paris,5.3,,PARIS,0 salarié,4.4,C1501
IMMO DE FRANCE PARIS ILE DE FRANCE,75001,Paris,7.0,,PARIS,0 salarié,4.5,C1501
CABINET COUSIN,75001,Paris,1.7,,PARIS,6 à 9 salariés,4.2,C1501
ESPACES ATYPIQUES DEVELOPPEMENT,75001,Paris,2.3,,PARIS,0 salarié,4.1,C1501
DOMITYS SUD OUEST,75001,Paris,6.9,,PARIS,0 salarié,4.2,C1501
IAD,75001,Paris,27.7,,LIEUSAINT,0 salarié,4.1,C1501
FONCIA PARIS RIVE GAUCHE,75001,Paris,2.5,,PARIS,0 salarié,4.5,C1501
MY FLAT IN PARIS,75001,Paris,5.9,,PARIS,0 salarié,4.2,C1501
DOMITYS NORD,75001,Paris,26.4,,CORBEIL,0 salarié,4.4,C1501
SAIEM DU FONDS DES GROUX,75001,Paris,6.5,,MALAKOFF,0 salarié,3.7,C1501
DOMITYS NORD,75001,Paris,40.2,,MELUN,0 salarié,3.9,C1501
LEPINAY MALET,75001,Paris,4.6,,PARIS,20 à 49 salariés,4.4,C1501
ACQUERIR,75001,Paris,5.7,,PARIS,3 à 5 salariés,3.8,C1501
CABINET MASSON ET CIE,75001,Paris,1.9,,PARIS,20 à 49 salariés,4.6,C1501
AEC GESTION,75001,Paris,1.9,,PARIS,0 salarié,3.9,C1501
ANTIN RESIDENCES SA HABITAT LOYER MODERE,75001,Paris,5.2,,PARIS,0 salarié,4.4,C1501
CABINET HABRIAL,75001,Paris,5.9,,PARIS,0 salarié,3.8,C1501
ARCO S.A.S.,75001,Paris,1.3,,PARIS,0 salarié,4.2,C1501
AXIMO,75001,Paris,3.7,,PARIS,0 salarié,4.4,C1501
ICF LA SABLIERE SA D'HLM,75001,Paris,6.1,,PANTIN,100 à 199 salariés,3.7,C1501
SGL,75001,Paris,3.8,,PARIS,0 salarié,3.8,C1501
RESIDE ETUDES,75001,Paris,6.1,,PARIS,0 salarié,3.8,C1501
RICHARDIERE,75001,Paris,4.8,,PARIS,0 salarié,3.8,C1501
ARBD,75001,Paris,6.0,,PARIS,0 salarié,3.8,C1501
DOMITYS NORD,75001,Paris,30.8,,CERGY,0 salarié,4.5,C1501
CABINET ETIENNEY MARNE IMMOBILIER,75001,Paris,9.4,,LE,1 ou 2 salariés,3.8,C1501
HABITAT RL PRESTIGE,75001,Paris,5.5,,PARIS,3 à 5 salariés,3.6,C1501
DOMITYS NORD,75001,Paris,18.6,,VERSAILLES,0 salarié,4.2,C1501
GESCOFIM SAFAR FINORGEST,75001,Paris,7.2,,PARIS,0 salarié,3.6,C1501
SARL PRO.GESTION,75001,Paris,30.6,,PONTOISE,0 salarié,3.8,C1501
OFFICE DE L'HABITAT SOCIAL D'ALFORTVILLE,75001,Paris,4.4,,ALFORTVILLE,0 salarié,4.0,C1501
ICF LA SABLIERE SA D'HLM,75001,Paris,1.3,,PARIS,100 à 199 salariés,3.7,C1501
