,classe_code,classe_name,code,division_code,division_name,group_code,group_name,section_code,section_name
0,78.20,Activités des agences de travail temporaire,7820Z,78,Activités liées à l'emploi,78.2,Activités des agences de travail temporaire,N,Activités de services administratifs et de soutien
1,70.22,Conseil pour les affaires et autres conseils de gestion,7022Z,70,Activités des sièges sociaux ; conseil de gestion,70.2,Conseil pour les affaires et autres conseils de gestion,M,"Activités spécialisées, scientifiques et techniques"
2,78.30,Autre mise à disposition de ressources humaines,7830Z,78,Activités liées à l'emploi,78.3,Autre mise à disposition de ressources humaines,N,Activités de services administratifs et de soutien
3,46.51,"Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de logiciels",4651Z,46,"Commerce de gros, à l'exception des automobiles et des motocycles",46.5,"Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de logiciels",G,Commerce ; réparation d'automobiles et de motocycles
4,82.99,Autres activités de soutien aux entreprises n.c.a.,8299Z,82,Activités administratives et autres activités de soutien aux entreprises,82.9,Autres activités de soutien aux entreprises n.c.a.,N,Activités de services administratifs et de soutien
5,56.10,Restaurants et services de restauration mobile,5610A,56,Restauration,56.1,Restaurants et services de restauration mobile,I,Hébergement et restauration
6,41.20,Construction de bâtiments résidentiels et non résidentiels,4120A,41,Construction de bâtiments,41.2,Construction de bâtiments résidentiels et non résidentiels,F,Construction
7,47.11,Commerce de détail en magasin non spécialisé à prédominance alimentaire,4711F,47,"Commerce de détail, à l'exception des automobiles et des motocycles",47.1,Commerce de détail en magasin non spécialisé à prédominance alimentaire,G,Commerce ; réparation d'automobiles et de motocycles
8,46.31,Commerce de gros de fruits et légumes,4631Z,46,"Commerce de gros, à l'exception des automobiles et des motocycles",46.3,Commerce de gros de fruits et légumes,G,Commerce ; réparation d'automobiles et de motocycles
9,74.30,Traduction et interprétation,7430Z,74,"Autres activités spécialisées, scientifiques et techniques",74.3,Traduction et interprétation,M,"Activités spécialisées, scientifiques et techniques"
10,71.12,Activités d'ingénierie,7112B,71,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,71.1,Activités d'ingénierie,M,"Activités spécialisées, scientifiques et techniques"
11,94.20,Activités des syndicats de salariés,9420Z,94,Activités des organisations associatives,94.2,Activités des syndicats de salariés,S,Autres activités de services
12,21.10,Fabrication de produits pharmaceutiques de base,2110Z,21,Industrie pharmaceutique,21.1,Fabrication de produits pharmaceutiques de base,C,Industrie manufacturière
13,30.30,Construction aéronautique et spatiale,3030Z,30,Fabrication d'autres matériels de transport,30.3,Construction aéronautique et spatiale,C,Industrie manufacturière
14,94.99,Activités des organisations associatives n.c.a.,9499Z,94,Activités des organisations associatives,94.9,Activités des organisations associatives n.c.a.,S,Autres activités de services
15,68.20,Location et exploitation de biens immobiliers propres ou loués,6820B,68,Activités immobilières,68.2,Location et exploitation de biens immobiliers propres ou loués,L,Activités immobilières
16,61.90,Autres activités de télécommunication,6190Z,61,Télécommunications,61.9,Autres activités de télécommunication,J,Information et communication
17,72.20,Recherche-développement en sciences humaines et sociales,7220Z,72,Recherche-développement scientifique,72.2,Recherche-développement en sciences humaines et sociales,M,"Activités spécialisées, scientifiques et techniques"
18,78.10,Activités des agences de placement de main-d'œuvre,7810Z,78,Activités liées à l'emploi,78.1,Activités des agences de placement de main-d'œuvre,N,Activités de services administratifs et de soutien
19,64.20,Activités des sociétés holding,6420Z,64,"Activités des services financiers, hors assurance et caisses de retraite",64.2,Activités des sociétés holding,K,Activités financières et d'assurance
20,72.19,Recherche-développement en autres sciences physiques et naturelles,7219Z,72,Recherche-développement scientifique,72.1,Recherche-développement en autres sciences physiques et naturelles,M,"Activités spécialisées, scientifiques et techniques"
21,41.20,Construction de bâtiments résidentiels et non résidentiels,4120B,41,Construction de bâtiments,41.2,Construction de bâtiments résidentiels et non résidentiels,F,Construction
22,10.32,Préparation de jus de fruits et légumes,1032Z,10,Industries alimentaires,10.3,Préparation de jus de fruits et légumes,C,Industrie manufacturière
23,84.11,Administration publique générale,8411Z,84,Administration publique et défense ; sécurité sociale obligatoire,84.1,Administration publique générale,O,Administration publique
24,46.49,Commerce de gros d'autres biens domestiques,4649Z,46,"Commerce de gros, à l'exception des automobiles et des motocycles",46.4,Commerce de gros d'autres biens domestiques,G,Commerce ; réparation d'automobiles et de motocycles
25,68.20,Location et exploitation de biens immobiliers propres ou loués,6820A,68,Activités immobilières,68.2,Location et exploitation de biens immobiliers propres ou loués,L,Activités immobilières
26,43.99,Autres travaux de construction spécialisés n.c.a.,4399D,43,Travaux de construction spécialisés,43.9,Autres travaux de construction spécialisés n.c.a.,F,Construction
27,47.91,Vente à distance,4791A,47,"Commerce de détail, à l'exception des automobiles et des motocycles",47.9,Vente à distance,G,Commerce ; réparation d'automobiles et de motocycles
28,46.69,Commerce de gros d'autres machines et équipements,4669B,46,"Commerce de gros, à l'exception des automobiles et des motocycles",46.6,Commerce de gros d'autres machines et équipements,G,Commerce ; réparation d'automobiles et de motocycles
29,85.53,Enseignement de la conduite,8553Z,85,Enseignement,85.5,Enseignement de la conduite,P,Enseignement
30,38.32,Récupération de déchets triés,3832Z,38,"Collecte, traitement et élimination des déchets ; récupération",38.3,Récupération de déchets triés,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
31,46.38,"Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques",4638B,46,"Commerce de gros, à l'exception des automobiles et des motocycles",46.3,"Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques",G,Commerce ; réparation d'automobiles et de motocycles
32,64.30,Fonds de placement et entités financières similaires,6430Z,64,"Activités des services financiers, hors assurance et caisses de retraite",64.3,Fonds de placement et entités financières similaires,K,Activités financières et d'assurance
33,85.59,Enseignements divers,8559A,85,Enseignement,85.5,Enseignements divers,P,Enseignement
34,10.51,Exploitation de laiteries et fabrication de fromage,1051C,10,Industries alimentaires,10.5,Exploitation de laiteries et fabrication de fromage,C,Industrie manufacturière
35,33.20,Installation de machines et d'équipements industriels,3320B,33,Réparation et installation de machines et d'équipements,33.2,Installation de machines et d'équipements industriels,C,Industrie manufacturière
36,10.39,Autre transformation et conservation de fruits et légumes,1039A,10,Industries alimentaires,10.3,Autre transformation et conservation de fruits et légumes,C,Industrie manufacturière
37,81.10,Activités combinées de soutien lié aux bâtiments,8110Z,81,Services relatifs aux bâtiments et aménagement paysager,81.1,Activités combinées de soutien lié aux bâtiments,N,Activités de services administratifs et de soutien
38,88.10,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,8810C,88,Action sociale sans hébergement,88.1,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Q,Santé humaine et action sociale
39,87.10,Hébergement médicalisé,8710A,87,Hébergement médico-social et social,87.1,Hébergement médicalisé,Q,Santé humaine et action sociale
40,86.10,Activités hospitalières,8610Z,86,Activités pour la santé humaine,86.1,Activités hospitalières,Q,Santé humaine et action sociale
41,65.12,Autres assurances,6512Z,65,Assurance,65.1,Autres assurances,K,Activités financières et d'assurance
42,47.72,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,4772A,47,"Commerce de détail, à l'exception des automobiles et des motocycles",47.7,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,G,Commerce ; réparation d'automobiles et de motocycles
43,88.91,Action sociale sans hébergement pour jeunes enfants,8891A,88,Action sociale sans hébergement,88.9,Action sociale sans hébergement pour jeunes enfants,Q,Santé humaine et action sociale
44,86.90,Autres activités pour la santé humaine,8690D,86,Activités pour la santé humaine,86.9,Autres activités pour la santé humaine,Q,Santé humaine et action sociale
45,88.10,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,8810A,88,Action sociale sans hébergement,88.1,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,Q,Santé humaine et action sociale
46,58.13,Édition de journaux,5813Z,58,Édition,58.1,Édition de journaux,J,Information et communication
47,56.10,Restaurants et services de restauration mobile,5610C,56,Restauration,56.1,Restaurants et services de restauration mobile,I,Hébergement et restauration
48,88.99,Autre action sociale sans hébergement n.c.a.,8899B,88,Action sociale sans hébergement,88.9,Autre action sociale sans hébergement n.c.a.,Q,Santé humaine et action sociale
49,86.21,Activité des médecins généralistes,8621Z,86,Activités pour la santé humaine,86.2,Activité des médecins généralistes,Q,Santé humaine et action sociale
50,87.30,Hébergement social pour personnes âgées ou handicapées physiques,8730A,87,Hébergement médico-social et social,87.3,Hébergement social pour personnes âgées ou handicapées physiques,Q,Santé humaine et action sociale
51,70.10,Activités des sièges sociaux,7010Z,70,Activités des sièges sociaux ; conseil de gestion,70.1,Activités des sièges sociaux,M,"Activités spécialisées, scientifiques et techniques"
52,86.90,Autres activités pour la santé humaine,8690B,86,Activités pour la santé humaine,86.9,Autres activités pour la santé humaine,Q,Santé humaine et action sociale
53,53.20,Autres activités de poste et de courrier,5320Z,53,Activités de poste et de courrier,53.2,Autres activités de poste et de courrier,H,Transports et entreposage
54,96.04,Entretien corporel,9604Z,96,Autres services personnels,96.0,Entretien corporel,S,Autres activités de services
55,68.32,Administration de biens immobiliers,6832A,68,Activités immobilières,68.3,Administration de biens immobiliers,L,Activités immobilières
56,87.90,Autres activités d'hébergement social,8790A,87,Hébergement médico-social et social,87.9,Autres activités d'hébergement social,Q,Santé humaine et action sociale
57,41.10,Promotion immobilière,4110D,41,Construction de bâtiments,41.1,Promotion immobilière,F,Construction
