jobs,jobs_suggested,rome_code,rome_code_suggested,type
Adjointe RH, Assistanat de direction,M1501,M1604 ,Strong
Adjointe RH, Conseil en emploi et insertion socioprofessionnelle,M1501,K1801 ,Week
Adjointe RH, Coordination pédagogique,M1501,K2102 ,Week
Adjointe RH, Formation professionnelle,M1501,K2111 ,Week
Adjointe RH, Formation professionnelle,M1501,K2111 ,Week
Adjointe RH, Comptabilité,M1501,M1203 ,Week
Adjointe RH, Développement des ressources humaines,M1501,M1502 ,Week
Adjointe RH, Management des ressources humaines,M1501,M1503 ,Week
Animateur sécurité, Médiation sociale et facilitation de la vie en société,K1205,K1204 ,Strong
Animateur sécurité, Accueil et renseignements,K1205,M1601 ,Strong
Animateur sécurité, Accompagnement et médiation familiale,K1205,K1101 ,Week
Animateur sécurité, Action sociale,K1205,K1201 ,Week
Animateur sécurité, Psychologie,K1205,K1104 ,Week
Animateur sécurité, Intervention socioéducative,K1205,K1207 ,Week
Animateur sécurité, Aide aux bénéficiaires d'une mesure de protection juridique,K1205,K1102 ,Week
Animateur qualité , Direction de laboratoire d'analyse industrielle,H1502,H1501 ,Strong
Animateur qualité , Management et ingénierie Hygiène Sécurité Environnement ,H1502,H1302 ,Strong
Animateur qualité , Conseil en organisation et management d'entreprise,H1502,M1402 ,Week
Animateur qualité , Management et ingénierie de production,H1502,H2502 ,Week
Apprenti laboratoire , Analyses médicales,H1503,J1302 ,Strong
Apprenti laboratoire , Intervention technique qualité en mécanique et travail des métaux,H1503,H1506 ,Strong
Apprenti laboratoire ," Intervention technique en études, recherche et développement",H1503,H1210 ,Strong
Apprenti laboratoire ," Management et ingénierie études, recherche et développement industriel",H1503,H1206 ,Week
Apprenti laboratoire , Intervention technique en méthodes et industrialisation,H1503,H1404 ,Week
Apprenti laboratoire , Intervention technique en Hygiène Sécurité Environnement ,H1503,H1303 ,Week
Apprenti laboratoire , Direction de laboratoire d'analyse industrielle,H1503,H1501 ,Week
Apprenti laboratoire , Management et ingénierie qualité industrielle,H1503,H1502 ,Week
Apprenti sécurité, Personnel du hall,K2503,G1702 ,Strong
Apprenti sécurité, Conduite et livraison par tournées sur courte distance,K2503,N4105 ,Strong
Apprenti sécurité, Contrôle des transports en commun,K2503,N4302 ,Strong
Apprenti sécurité, Gardiennage de locaux,K2503,K2501 ,Strong
Apprenti sécurité, Entretien et surveillance du tracé routier,K2503,I1202 ,Strong
Apprenti sécurité, Personnel d'attractions ou de structures de loisirs,K2503,G1205 ,Strong
Apprenti sécurité, Conduite et livraison par tournées sur courte distance,K2503,N4105 ,Strong
Apprenti sécurité, Surveillance municipale,K2503,K1707 ,Strong
Apprenti sécurité, Conduite et livraison par tournées sur courte distance,K2503,N4105 ,Strong
Apprenti sécurité, Conduite et livraison par tournées sur courte distance,K2503,N4105 ,Strong
Apprenti sécurité, Conduite et livraison par tournées sur courte distance,K2503,N4105 ,Strong
Apprenti sécurité, Sécurité civile et secours,K2503,K1705 ,Week
Apprenti sécurité, Management de sécurité privée,K2503,K2502 ,Week
Conducteur d'installation fruits, Conduite d'équipement de formage des plastiques et caoutchoucs,H2102,H3201 ,Strong
Conducteur d'installation fruits, Conduite de machine de fabrication de produits textiles,H2102,H2403 ,Strong
Conducteur d'installation fruits, Fermentation de boissons alcoolisées,H2102,A1413 ,Strong
Conducteur d'installation fruits, Conduite de machine de production et transformation des fils,H2102,H2404 ,Strong
Conducteur d'installation fruits, Conduite d'installation de pâte à papier,H2102,H3102 ,Strong
Conducteur d'installation fruits, Façonnage et émaillage en industrie céramique,H2102,H2803 ,Strong
Conducteur d'installation fruits," Préparation de matières et produits industriels (broyage, mélange, ...)",H2102,H3303 ,Strong
Conducteur d'installation fruits, Conduite d'équipement de production chimique ou pharmaceutique,H2102,H2301 ,Strong
Conducteur d'installation fruits, Conduite d'équipement de conditionnement,H2102,H3301 ,Strong
Conducteur d'installation fruits, Conduite d'équipement de transformation du verre,H2102,H2801 ,Strong
Conducteur d'installation fruits," Opérations manuelles d'assemblage, tri ou emballage",H2102,H3302 ,Strong
Conducteur d'installation fruits, Fermentation de boissons alcoolisées,H2102,A1413 ,Strong
Conducteur d'installation fruits," Conduite d'installation automatisée de production électrique, électronique et microélectronique",H2102,H2603 ,Strong
Conducteur d'installation fruits, Intervention technique en gestion industrielle et logistique,H2102,H1403 ,Week
Conducteur d'installation fruits, Intervention technique en méthodes et industrialisation,H2102,H1404 ,Week
Conducteur d'installation fruits, Encadrement d'équipe en industrie de transformation,H2102,H2504 ,Week
Conducteur d'installation fruits, Réglage d'équipement de production industrielle,H2102,H2912 ,Week
Conducteur d'installation process , Conduite d'installation de pâte à papier,H2906,H3102 ,Strong
Conducteur d'installation process , Montage,H2906,H2909 ,Strong
Conducteur d'installation process , Conduite d'équipement d'usinage,H2906,H2903 ,Strong
Conducteur d'installation process , Conduite d'équipement de formage et découpage des matériaux,H2906,H2905 ,Strong
Conducteur d'installation process , Conduite d'installation de production des métaux,H2906,H2907 ,Strong
Conducteur d'installation process , Conduite d'équipement de conditionnement,H2906,H3301 ,Strong
Conducteur d'installation process , Conduite de traitement par dépôt de surface,H2906,H3402 ,Strong
Conducteur d'installation process , Conduite de traitement d'abrasion de surface,H2906,H3401 ,Strong
Conducteur d'installation process , Conduite d'équipement de production alimentaire,H2906,H2102 ,Strong
Conducteur d'installation process , Peinture industrielle,H2906,H3404 ,Strong
Conducteur d'installation process , Conduite d'équipement de déformation des métaux,H2906,H2904 ,Strong
Conducteur d'installation process , Réglage d'équipement de production industrielle,H2906,H2912 ,Week
Conducteur d'installation process , Pilotage d'unité élémentaire de production mécanique ou de travail des métaux,H2906,H2503 ,Week
Conducteur de ligne ," Écriture d'ouvrages, de livres",L1304,E1102 ,Strong
Conducteur de ligne ," Écriture d'ouvrages, de livres",L1304,E1102 ,Strong
Conducteur de ligne ," Production et administration spectacle, cinéma et audiovisuel",L1304,L1302 ,Week
Conducteur de palettiseur centralisé, Conduite d'équipement de transformation du verre,H3301,H2801 ,Strong
Conducteur de palettiseur centralisé, Conduite d'équipement de production chimique ou pharmaceutique,H3301,H2301 ,Strong
Conducteur de palettiseur centralisé, Conduite d'équipement de formage des plastiques et caoutchoucs,H3301,H3201 ,Strong
Conducteur de palettiseur centralisé, Conduite de machines de façonnage routage,H3301,E1302 ,Strong
Conducteur de palettiseur centralisé, Façonnage et émaillage en industrie céramique,H3301,H2803 ,Strong
Conducteur de palettiseur centralisé, Conduite d'équipement de production alimentaire,H3301,H2102 ,Strong
Conducteur de palettiseur centralisé, Montage,H3301,H2909 ,Strong
Conducteur de palettiseur centralisé, Conduite d'équipement de fabrication de papier ou de carton,H3301,H3101 ,Strong
Conducteur de palettiseur centralisé, Magasinage et préparation de commandes,H3301,N1103 ,Strong
Conducteur de palettiseur centralisé, Conduite d'installation de production de matériaux de construction,H3301,H2802 ,Strong
Conducteur de palettiseur centralisé, Encadrement d'équipe en industrie de transformation,H3301,H2504 ,Week
Conducteur de palettiseur centralisé, Installation et maintenance de distributeurs automatiques,H3301,I1303 ,Week
Conducteur de palettiseur centralisé, Réglage d'équipement de production industrielle,H3301,H2912 ,Week
Conducteur de palettiseur centralisé, Intervention technique en méthodes et industrialisation,H3301,H1404 ,Week
Conducteur de palettiseur centralisé, Installation et maintenance d'équipements industriels et d'exploitation,H3301,I1304 ,Week
Coordinateur technique," Management et ingénierie études, recherche et développement industriel",H1101,H1206 ,Strong
Coordinateur technique, Achats,H1101,M1101 ,Strong
Coordinateur technique, Management et ingénierie méthodes et industrialisation,H1101,H1402 ,Strong
Coordinateur technique, Management et ingénierie de maintenance industrielle,H1101,I1102 ,Strong
Coordinateur technique, Rédaction technique,H1101,H1207 ,Strong
Coordinateur technique, Management et ingénierie d'affaires,H1101,H1102 ,Week
Coordinateur technique, Management relation clientèle,H1101,M1704 ,Week
Gestionnaire matières premières, Intervention technique en méthodes et industrialisation,H1403,H1404 ,Strong
Gestionnaire matières premières, Intervention technique d'exploitation logistique,H1403,N1303 ,Strong
Gestionnaire matières premières, Pilotage d'installation de production verrière,H1403,H2805 ,Strong
Gestionnaire matières premières, Supervision d'entretien et gestion de véhicules,H1403,I1103 ,Week
Gestionnaire matières premières, Conception et organisation de la chaîne logistique,H1403,N1301 ,Week
Gestionnaire matières premières, Encadrement d'équipe en industrie de transformation,H1403,H2504 ,Week
Gestionnaire matières premières, Direction de site logistique,H1403,N1302 ,Week
Gestionnaire matières premières, Management et ingénierie gestion industrielle et logistique,H1403,H1401 ,Week
Infirmière , Formation professionnelle,J1506,K2111 ,Strong
Infirmière , Soins infirmiers spécialisés en prévention,J1506,J1505 ,Strong
Infirmière , Conseil en information médicale,J1506,D1405 ,Strong
Infirmière , Coordination de services médicaux ou paramédicaux,J1506,J1502 ,Week
Infirmière , Soins infirmiers spécialisés en bloc opératoire,J1506,J1504 ,Week
Infirmière , Soins infirmiers spécialisés en anesthésie,J1506,J1503 ,Week
Infirmière ," Management de structure de santé, sociale ou pénitentiaire",J1506,K1403 ,Week
Infirmière , Développement personnel et bien,J1506,K1103 ,Week
Infirmière , Soins infirmiers spécialisés en puériculture,J1506,J1507 ,Week
Ingénieur études, Management et ingénierie méthodes et industrialisation,H1206,H1402 ,Strong
Ingénieur études, Direction de laboratoire d'analyse industrielle,H1206,H1501 ,Strong
Ingénieur études," Recherche en sciences de l'univers, de la matière et du vivant",H1206,K2402 ,Strong
Ingénieur études, Management et ingénierie qualité industrielle,H1206,H1502 ,Week
Ingénieur études, Management et ingénierie d'affaires,H1206,H1102 ,Week
Ingénieur études, Conseil en organisation et management d'entreprise,H1206,M1402 ,Week
Ingénieur études, Intervention technique en Hygiène Sécurité Environnement ,H1206,H1303 ,Week
Ingénieur études, Management et ingénierie de production,H1206,H2502 ,Week
Ingénieur études, Management et ingénierie de maintenance industrielle,H1206,I1102 ,Week
Ingénieur études, Direction de grande entreprise ou d'établissement public,H1206,M1301 ,Week
Ingénieur études, Direction de petite ou moyenne entreprise,H1206,M1302 ,Week
Ingénieur études, Assistance et support technique client,H1206,H1101 ,Week
Ingénieur études, Management et ingénierie Hygiène Sécurité Environnement ,H1206,H1302 ,Week
Ingénieur études, Enseignement supérieur,H1206,K2108 ,Week
Apprenti laboratoire , Analyses médicales,H1503,J1302 ,Strong
Apprenti laboratoire , Intervention technique qualité en mécanique et travail des métaux,H1503,H1506 ,Strong
Apprenti laboratoire ," Intervention technique en études, recherche et développement",H1503,H1210 ,Strong
Apprenti laboratoire , Intervention technique en méthodes et industrialisation,H1503,H1404 ,Week
Apprenti laboratoire , Intervention technique en Hygiène Sécurité Environnement ,H1503,H1303 ,Week
Apprenti laboratoire , Management et ingénierie qualité industrielle,H1503,H1502 ,Week
Apprenti laboratoire , Direction de laboratoire d'analyse industrielle,H1503,H1501 ,Week
Apprenti laboratoire ," Management et ingénierie études, recherche et développement industriel",H1503,H1206 ,Week
Magasinier pièces détachées , Conduite d'équipement de conditionnement,N1103,H3301 ,Strong
Magasinier pièces détachées , Mise en rayon libre,N1103,D1507 ,Strong
Magasinier pièces détachées ," Opérations manuelles d'assemblage, tri ou emballage",N1103,H3302 ,Strong
Magasinier pièces détachées , Conduite d'engins de déplacement des charges,N1103,N1101 ,Strong
Magasinier pièces détachées , Blanchisserie industrielle,N1103,K2201 ,Strong
Magasinier pièces détachées , Exploitation des pistes aéroportuaires,N1103,N2203 ,Strong
Magasinier pièces détachées ," Préparation de matières et produits industriels (broyage, mélange, ...)",N1103,H3303 ,Strong
Magasinier pièces détachées , Manutention manuelle de charges,N1103,N1105 ,Strong
Magasinier pièces détachées , Conduite et livraison par tournées sur courte distance,N1103,N4105 ,Strong
Magasinier pièces détachées , Façonnage et routage,N1103,E1304 ,Strong
Magasinier pièces détachées , Vente en gros de matériel et équipement,N1103,D1213 ,Week
Magasinier pièces détachées , Intervention technique d'exploitation logistique,N1103,N1303 ,Week
Manager en ressources humaines , Développement des ressources humaines,M1503,M1502 ,Strong
